"","Problem Number","P1","P2","P3","P4","P5","P6","Problem_year"
"1","Num( P# = 0 )",32,60,153,61,113,57,1985
"2","Num( P# = 1 )",46,27,27,28,21,74,1985
"3","Num( P# = 2 )",11,8,8,46,20,19,1985
"4","Num( P# = 3 )",9,9,5,18,7,13,1985
"5","Num( P# = 4 )",4,3,1,16,7,9,1985
"6","Num( P# = 5 )",2,4,0,6,5,10,1985
"7","Num( P# = 6 )",2,6,3,2,1,4,1985
"8","Num( P# = 7 )",103,92,12,32,35,23,1985
"9","Num( P# = 0 )",16,68,145,50,30,115,1986
"10","Num( P# = 1 )",25,12,32,41,17,30,1986
"11","Num( P# = 2 )",43,9,10,16,14,7,1986
"12","Num( P# = 3 )",33,2,2,8,30,5,1986
"13","Num( P# = 4 )",10,2,5,6,13,3,1986
"14","Num( P# = 5 )",11,3,3,24,8,5,1986
"15","Num( P# = 6 )",4,6,1,7,41,2,1986
"16","Num( P# = 7 )",68,108,12,58,57,43,1986
"17","Num( P# = 0 )",75,54,125,75,59,126,1987
"18","Num( P# = 1 )",31,9,39,20,21,33,1987
"19","Num( P# = 2 )",15,7,5,21,7,12,1987
"20","Num( P# = 3 )",7,11,1,10,7,12,1987
"21","Num( P# = 4 )",3,7,0,1,8,8,1987
"22","Num( P# = 5 )",7,4,2,12,10,5,1987
"23","Num( P# = 6 )",1,4,6,7,6,4,1987
"24","Num( P# = 7 )",98,141,59,91,119,37,1987
"25","Num( P# = 0 )",27,92,75,136,76,189,1988
"26","Num( P# = 1 )",56,16,132,25,35,57,1988
"27","Num( P# = 2 )",19,13,13,12,23,3,1988
"28","Num( P# = 3 )",24,19,1,17,10,5,1988
"29","Num( P# = 4 )",22,25,3,3,20,1,1988
"30","Num( P# = 5 )",14,24,4,3,11,1,1988
"31","Num( P# = 6 )",8,7,9,6,7,1,1988
"32","Num( P# = 7 )",98,72,31,66,86,11,1988
"33","Num( P# = 0 )",109,45,188,65,122,143,1989
"34","Num( P# = 1 )",31,23,27,37,3,23,1989
"35","Num( P# = 2 )",29,9,19,12,3,13,1989
"36","Num( P# = 3 )",4,49,13,23,3,6,1989
"37","Num( P# = 4 )",4,14,2,8,2,11,1989
"38","Num( P# = 5 )",8,28,7,9,8,15,1989
"39","Num( P# = 6 )",15,15,3,5,8,11,1989
"40","Num( P# = 7 )",91,108,32,132,142,69,1989
"41","Num( P# = 0 )",88,47,25,31,21,115,1990
"42","Num( P# = 1 )",54,46,118,76,39,93,1990
"43","Num( P# = 2 )",28,37,79,70,43,29,1990
"44","Num( P# = 3 )",19,54,42,46,31,31,1990
"45","Num( P# = 4 )",26,11,16,10,22,18,1990
"46","Num( P# = 5 )",14,9,6,3,26,2,1990
"47","Num( P# = 6 )",8,8,6,3,26,3,1990
"48","Num( P# = 7 )",71,96,16,69,100,17,1990
"49","Num( P# = 0 )",93,47,90,112,77,172,1991
"50","Num( P# = 1 )",27,34,14,34,42,29,1991
"51","Num( P# = 2 )",10,21,16,15,18,27,1991
"52","Num( P# = 3 )",3,27,111,18,14,16,1991
"53","Num( P# = 4 )",34,31,37,10,14,10,1991
"54","Num( P# = 5 )",8,6,16,15,6,5,1991
"55","Num( P# = 6 )",6,16,5,13,7,3,1991
"56","Num( P# = 7 )",131,130,23,95,134,50,1991
"57","Num( P# = 0 )",110,31,177,68,252,123,1992
"58","Num( P# = 1 )",32,113,55,55,62,18,1992
"59","Num( P# = 2 )",11,41,19,39,3,75,1992
"60","Num( P# = 3 )",14,43,17,22,7,40,1992
"61","Num( P# = 4 )",14,34,11,10,0,37,1992
"62","Num( P# = 5 )",20,18,7,36,2,19,1992
"63","Num( P# = 6 )",18,3,5,34,2,8,1992
"64","Num( P# = 7 )",131,67,59,86,22,30,1992
"65","Num( P# = 0 )",208,183,293,145,43,186,1993
"66","Num( P# = 1 )",91,32,33,43,92,38,1993
"67","Num( P# = 2 )",6,98,6,55,44,81,1993
"68","Num( P# = 3 )",1,19,15,55,65,22,1993
"69","Num( P# = 4 )",1,12,21,35,32,20,1993
"70","Num( P# = 5 )",1,6,7,26,19,26,1993
"71","Num( P# = 6 )",13,6,8,15,27,6,1993
"72","Num( P# = 7 )",92,57,30,39,91,34,1993
"73","Num( P# = 0 )",151,52,104,52,95,211,1994
"74","Num( P# = 1 )",60,25,30,69,54,34,1994
"75","Num( P# = 2 )",33,12,18,70,40,30,1994
"76","Num( P# = 3 )",15,26,19,43,29,7,1994
"77","Num( P# = 4 )",10,17,11,19,22,4,1994
"78","Num( P# = 5 )",13,14,19,20,23,8,1994
"79","Num( P# = 6 )",11,12,36,11,38,3,1994
"80","Num( P# = 7 )",92,227,148,101,84,88,1994
"81","Num( P# = 0 )",47,299,96,43,141,291,1995
"82","Num( P# = 1 )",38,7,80,57,48,37,1995
"83","Num( P# = 2 )",21,5,33,16,30,22,1995
"84","Num( P# = 3 )",18,1,28,18,8,12,1995
"85","Num( P# = 4 )",7,1,34,25,1,5,1995
"86","Num( P# = 5 )",4,4,24,37,7,5,1995
"87","Num( P# = 6 )",38,5,17,48,5,6,1995
"88","Num( P# = 7 )",239,90,100,168,172,34,1995
"89","Num( P# = 0 )",67,178,49,177,311,196,1996
"90","Num( P# = 1 )",30,124,176,109,74,79,1996
"91","Num( P# = 2 )",98,10,73,11,18,16,1996
"92","Num( P# = 3 )",26,5,22,17,7,15,1996
"93","Num( P# = 4 )",111,11,14,11,4,3,1996
"94","Num( P# = 5 )",17,6,19,7,4,6,1996
"95","Num( P# = 6 )",12,2,19,6,0,10,1996
"96","Num( P# = 7 )",63,88,52,86,6,99,1996
"97","Num( P# = 0 )",91,164,269,81,136,341,1997
"98","Num( P# = 1 )",143,24,64,72,51,40,1997
"99","Num( P# = 2 )",30,16,5,20,36,12,1997
"100","Num( P# = 3 )",23,4,22,34,31,22,1997
"101","Num( P# = 4 )",102,7,4,58,21,4,1997
"102","Num( P# = 5 )",15,9,2,29,19,27,1997
"103","Num( P# = 6 )",8,0,6,31,14,4,1997
"104","Num( P# = 7 )",48,236,88,135,152,10,1997
"105","Num( P# = 0 )",89,213,91,125,184,340,1998
"106","Num( P# = 1 )",16,19,117,47,16,29,1998
"107","Num( P# = 2 )",115,26,152,14,38,6,1998
"108","Num( P# = 3 )",41,6,20,38,22,10,1998
"109","Num( P# = 4 )",27,5,3,20,9,7,1998
"110","Num( P# = 5 )",23,4,1,10,5,1,1998
"111","Num( P# = 6 )",5,5,5,23,6,2,1998
"112","Num( P# = 7 )",103,141,30,142,139,24,1998
"113","Num( P# = 0 )",29,195,154,40,195,145,1999
"114","Num( P# = 1 )",52,129,119,119,103,225,1999
"115","Num( P# = 2 )",53,37,79,109,44,28,1999
"116","Num( P# = 3 )",45,10,44,59,18,21,1999
"117","Num( P# = 4 )",42,5,20,24,5,8,1999
"118","Num( P# = 5 )",41,4,3,15,7,7,1999
"119","Num( P# = 6 )",48,11,8,9,31,5,1999
"120","Num( P# = 7 )",140,59,23,75,47,11,1999
"121","Num( P# = 0 )",118,50,335,85,257,335,2000
"122","Num( P# = 1 )",11,213,60,78,82,5,2000
"123","Num( P# = 2 )",44,41,29,62,16,51,2000
"124","Num( P# = 3 )",37,13,13,49,12,15,2000
"125","Num( P# = 4 )",22,6,6,28,14,11,2000
"126","Num( P# = 5 )",4,18,2,29,1,9,2000
"127","Num( P# = 6 )",5,12,1,49,11,2,2000
"128","Num( P# = 7 )",220,108,15,81,68,33,2000
"129","Num( P# = 0 )",132,311,272,147,93,380,2001
"130","Num( P# = 1 )",28,40,127,79,48,20,2001
"131","Num( P# = 2 )",47,15,36,34,145,16,2001
"132","Num( P# = 3 )",45,9,8,11,67,8,2001
"133","Num( P# = 4 )",12,11,1,15,17,10,2001
"134","Num( P# = 5 )",12,7,6,6,16,9,2001
"135","Num( P# = 6 )",20,3,3,8,5,3,2001
"136","Num( P# = 7 )",177,77,20,173,82,27,2001
"137","Num( P# = 0 )",179,173,311,106,97,408,2002
"138","Num( P# = 1 )",39,46,145,45,159,21,2002
"139","Num( P# = 2 )",11,1,1,15,101,25,2002
"140","Num( P# = 3 )",11,4,2,38,21,12,2002
"141","Num( P# = 4 )",8,0,0,70,0,0,2002
"142","Num( P# = 5 )",15,6,4,9,10,1,2002
"143","Num( P# = 6 )",61,129,2,20,25,0,2002
"144","Num( P# = 7 )",155,120,14,176,66,12,2002
"145","Num( P# = 0 )",123,117,424,90,193,357,2003
"146","Num( P# = 1 )",18,119,5,31,161,64,2003
"147","Num( P# = 2 )",111,40,0,23,20,9,2003
"148","Num( P# = 3 )",0,93,3,35,6,1,2003
"149","Num( P# = 4 )",0,0,1,1,5,0,2003
"150","Num( P# = 5 )",24,20,0,3,1,1,2003
"151","Num( P# = 6 )",1,1,1,2,4,1,2003
"152","Num( P# = 7 )",180,67,23,272,67,24,2003
"153","Num( P# = 0 )",94,79,249,140,157,289,2004
"154","Num( P# = 1 )",29,158,100,33,57,85,2004
"155","Num( P# = 2 )",21,57,80,27,18,33,2004
"156","Num( P# = 3 )",19,32,30,16,124,14,2004
"157","Num( P# = 4 )",9,23,15,8,35,7,2004
"158","Num( P# = 5 )",2,23,1,6,18,6,2004
"159","Num( P# = 6 )",121,31,0,6,13,4,2004
"160","Num( P# = 7 )",191,83,11,250,64,48,2004
"161","Num( P# = 0 )",207,96,423,90,288,325,2005
"162","Num( P# = 1 )",59,202,23,145,36,39,2005
"163","Num( P# = 2 )",65,13,3,30,30,57,2005
"164","Num( P# = 3 )",20,7,0,0,16,13,2005
"165","Num( P# = 4 )",5,11,0,0,4,15,2005
"166","Num( P# = 5 )",11,7,0,3,6,2,2005
"167","Num( P# = 6 )",5,2,9,7,8,6,2005
"168","Num( P# = 7 )",141,175,55,238,125,56,2005
"169","Num( P# = 0 )",61,176,365,18,303,471,2006
"170","Num( P# = 1 )",9,210,95,54,101,11,2006
"171","Num( P# = 2 )",14,0,4,59,8,3,2006
"172","Num( P# = 3 )",12,3,1,38,25,3,2006
"173","Num( P# = 4 )",10,15,1,6,6,0,2006
"174","Num( P# = 5 )",27,8,2,7,5,1,2006
"175","Num( P# = 6 )",7,8,2,68,2,1,2006
"176","Num( P# = 7 )",358,78,28,248,48,8,2006
"177","Num( P# = 0 )",176,147,437,51,210,473,2007
"178","Num( P# = 1 )",13,181,42,30,155,40,2007
"179","Num( P# = 2 )",8,26,23,9,38,2,2007
"180","Num( P# = 3 )",105,15,11,9,10,0,2007
"181","Num( P# = 4 )",18,5,3,3,3,0,2007
"182","Num( P# = 5 )",18,1,1,4,4,0,2007
"183","Num( P# = 6 )",21,8,1,51,6,0,2007
"184","Num( P# = 7 )",161,137,2,363,94,5,2007
"185","Num( P# = 0 )",59,110,438,69,295,482,2008
"186","Num( P# = 1 )",74,209,27,80,58,31,2008
"187","Num( P# = 2 )",17,24,8,0,33,9,2008
"188","Num( P# = 3 )",5,3,8,4,11,0,2008
"189","Num( P# = 4 )",8,35,3,128,1,0,2008
"190","Num( P# = 5 )",44,53,1,0,4,0,2008
"191","Num( P# = 6 )",7,7,4,27,1,1,2008
"192","Num( P# = 7 )",321,94,46,227,132,12,2008
"193","Num( P# = 0 )",83,101,357,188,270,540,2009
"194","Num( P# = 1 )",56,106,127,79,42,2,2009
"195","Num( P# = 2 )",28,43,16,37,50,1,2009
"196","Num( P# = 3 )",20,51,5,23,33,10,2009
"197","Num( P# = 4 )",17,16,2,17,6,6,2009
"198","Num( P# = 5 )",16,15,5,69,4,2,2009
"199","Num( P# = 6 )",21,19,2,52,7,1,2009
"200","Num( P# = 7 )",324,214,51,100,153,3,2009
"201","Num( P# = 0 )",39,223,428,84,352,470,2010
"202","Num( P# = 1 )",17,93,48,2,85,14,2010
"203","Num( P# = 2 )",27,23,10,10,26,4,2010
"204","Num( P# = 3 )",16,8,4,47,3,3,2010
"205","Num( P# = 4 )",34,2,4,2,0,0,2010
"206","Num( P# = 5 )",35,4,4,4,2,6,2010
"207","Num( P# = 6 )",54,2,2,2,11,4,2010
