data,country,index
Malaysia: 0.8217549817311728,Malaysia,0.82
Seychelles: 0.8063183327516146,Seychelles,0.81
St. Vincent and the Grenadines: 0.8033264176742436,St. Vincent and the Grenadines,0.8
Singapore: 0.7988764565402908,Singapore,0.8
Barbados: 0.7864454866654799,Barbados,0.79
Mauritius: 0.7782160079558629,Mauritius,0.78
Macao (SAR China): 0.7779203044014212,Macao (SAR China),0.78
Dominica: 0.7746231235940206,Dominica,0.77
Tuvalu: 0.7615773105863908,Tuvalu,0.76
Samoa: 0.7615773105863908,Samoa,0.76
Hong Kong (SAR China): 0.7465111597053495,Hong Kong (SAR China),0.75
Micronesia: 0.7348469228349535,Micronesia,0.73
Palau Islands: 0.7280427846605557,Palau Islands,0.73
Maldives: 0.6595452979136459,Maldives,0.66
St. Lucia: 0.6551384198826605,St. Lucia,0.66
Timor-Leste: 0.6480740698407861,Timor-Leste,0.65
Nicaragua: 0.6472318679647124,Nicaragua,0.65
St. Kitts and Nevis: 0.6352811106527871,St. Kitts and Nevis,0.64
Bahamas: 0.6245292344685575,Bahamas,0.62
Panama: 0.6023575729326321,Panama,0.6
South Korea: 0.5982152169438124,South Korea,0.6
Kenya: 0.5958187643906492,Kenya,0.6
Ecuador: 0.5947444242971582,Ecuador,0.59
Grenada: 0.5858449331643022,Grenada,0.59
Israel: 0.5833630944789018,Israel,0.58
Cape Verde Islands: 0.5787918451395113,Cape Verde Islands,0.58
Trinidad and Tobago: 0.5665412537918683,Trinidad and Tobago,0.57
Brazil: 0.5639266308954672,Brazil,0.56
Bolivia: 0.5627720042496103,Bolivia,0.56
Colombia: 0.5615825852000754,Colombia,0.56
Rwanda: 0.5612486080160912,Rwanda,0.56
Antigua and Barbuda: 0.5498438362615418,Antigua and Barbuda,0.55
The Gambia: 0.5483446162604482,The Gambia,0.55
Peru: 0.5477571348580307,Peru,0.55
Mozambique: 0.5385164807134504,Mozambique,0.54
Madagascar: 0.5385164807134504,Madagascar,0.54
Suriname: 0.5379438275915391,Suriname,0.54
Chile: 0.527148846190778,Chile,0.53
Iceland: 0.5248293626242834,Iceland,0.52
Togo: 0.5244880544857486,Togo,0.52
Mauritania: 0.5244880544857486,Mauritania,0.52
Liechtenstein: 0.5242186517143346,Liechtenstein,0.52
Kiribati: 0.5211594217292276,Kiribati,0.52
Cambodia: 0.5196152422706632,Cambodia,0.52
Guinea-Bissau: 0.5196152422706632,Guinea-Bissau,0.52
Croatia: 0.5191860361444524,Croatia,0.52
Philippines: 0.5183210553488161,Philippines,0.52
Slovenia: 0.517540434425971,Slovenia,0.52
Slovakia: 0.517540434425971,Slovakia,0.52
Greece: 0.5166666666666667,Greece,0.52
Switzerland: 0.5166666666666667,Switzerland,0.52
Monaco: 0.516185401208764,Monaco,0.52
Estonia: 0.5159103817646807,Estonia,0.52
Portugal: 0.5150793613281915,Portugal,0.52
Norway: 0.5150793613281915,Norway,0.52
Belgium: 0.5150793613281915,Belgium,0.52
Comoro Islands: 0.51478150704935,Comoro Islands,0.51
Lithuania: 0.5142956348249517,Lithuania,0.51
Hungary: 0.5142956348249517,Hungary,0.51
Luxembourg: 0.5135065962480365,Luxembourg,0.51
Denmark: 0.5135065962480365,Denmark,0.51
Austria: 0.5135065962480365,Austria,0.51
Poland: 0.5126959555693246,Poland,0.51
Czechia: 0.5126959555693246,Czechia,0.51
Finland: 0.5119481507837577,Finland,0.51
Netherlands: 0.5119481507837577,Netherlands,0.51
Sweden: 0.5119481507837577,Sweden,0.51
Latvia: 0.5119149949213408,Latvia,0.51
Malta: 0.5111111111111111,Malta,0.51
Andorra: 0.5108815909777921,Andorra,0.51
San Marino: 0.5108815909777921,San Marino,0.51
Germany: 0.5104038089520602,Germany,0.51
Italy: 0.5104038089520602,Italy,0.51
France: 0.5104038089520602,France,0.51
Spain: 0.5104038089520602,Spain,0.51
Bulgaria: 0.5095246653650681,Bulgaria,0.51
Romania: 0.5095246653650681,Romania,0.51
