"","Problem","10","9","8","7","6","5","4","3","2","1","0","Blank","Year"
"X2...1","A1","115","64","20","0","0","0","0","0","1","0","2","2",1995
"X3...2","A2","26","10","14","0","0","0","0","0","14","3","56","81",1995
"X4...3","A3","95","44","39","0","0","0","0","0","12","5","3","6",1995
"X5...4","A4","39","9","13","0","0","0","0","0","19","1","83","40",1995
"X6...5","A5","1","1","2","1","0","0","0","6","18","14","43","118",1995
"X7...6","A6","1","0","1","0","0","0","0","0","0","0","61","141",1995
"X8...7","B1","124","26","7","0","0","0","0","0","4","10","11","22",1995
"X9...8","B2","2","54","26","0","0","0","0","0","3","13","51","55",1995
"X10...9","B3","54","15","11","0","0","0","0","0","33","15","49","27",1995
"X11...10","B4","9","18","62","4","0","0","0","2","21","33","10","45",1995
"X12...11","B5","72","11","13","0","0","0","0","0","9","6","42","51",1995
"X13...12","B6","3","2","0","0","0","0","0","0","2","3","61","133",1995
"X2...13","A1","87","26","47","0","0","0","0","0","6","9","31","0",1996
"X3...14","A2","6","11","27","0","0","0","0","0","65","23","46","28",1996
"X4...15","A3","63","18","6","0","0","0","0","0","0","0","47","72",1996
"X5...16","A4","3","7","7","0","0","0","0","0","7","19","67","96",1996
"X6...17","A5","4","4","2","0","0","0","0","0","0","13","40","143",1996
"X7...18","A6","4","4","11","0","0","0","0","0","18","13","46","110",1996
"X8...19","B1","113","72","17","0","0","0","0","0","3","1","0","0",1996
"X9...20","B2","85","13","6","0","0","0","0","0","15","7","28","52",1996
"X10...21","B3","20","19","8","0","0","0","0","0","14","36","56","53",1996
"X11...22","B4","40","4","7","0","0","0","0","0","17","4","48","86",1996
"X12...23","B5","34","4","7","0","0","0","0","0","3","2","58","98",1996
"X13...24","B6","0","1","9","0","0","0","0","0","2","0","23","171",1996
"X2...25","A1","138","3","8","0","0","0","0","0","1","2","21","32",1997
"X3...26","A2","42","42","44","0","0","0","0","0","18","7","19","33",1997
"X4...27","A3","5","28","4","0","0","0","0","0","3","36","29","100",1997
"X5...28","A4","100","21","1","0","0","0","0","0","3","8","24","48",1997
"X6...29","A5","22","10","15","0","0","0","0","0","24","11","37","86",1997
"X7...30","A6","0","1","1","0","0","0","0","0","8","8","35","152",1997
"X8...31","B1","171","6","8","0","0","0","0","0","1","8","10","1",1997
"X9...32","B2","28","1","1","0","0","0","0","0","1","3","38","133",1997
"X10...33","B3","1","4","7","0","0","0","0","0","22","20","89","62",1997
"X11...34","B4","23","6","7","0","0","0","0","0","5","4","35","125",1997
"X12...35","B5","9","4","3","0","0","0","0","0","17","24","44","104",1997
"X13...36","B6","5","4","5","0","0","0","0","0","3","0","51","137",1997
"X2...37","A1","156","23","4","0","0","0","0","0","0","0","16","0",1998
"X3...38","A2","103","35","26","0","0","0","0","0","9","8","12","6",1998
"X4...39","A3","82","34","2","0","0","0","0","0","5","0","39","37",1998
"X5...40","A4","39","27","52","0","0","0","0","0","49","7","14","11",1998
"X6...41","A5","85","24","15","0","0","0","0","0","5","2","8","60",1998
"X7...42","A6","12","1","3","0","0","0","0","0","3","9","92","79",1998
"X8...43","B1","112","30","30","0","0","0","0","0","3","3","12","9",1998
"X9...44","B2","82","10","9","0","0","0","0","0","3","11","38","46",1998
"X10...45","B3","44","4","3","0","0","0","0","0","7","2","62","77",1998
"X11...46","B4","42","9","22","0","0","0","0","0","21","28","24","53",1998
"X12...47","B5","55","2","29","0","0","0","0","0","8","0","29","76",1998
"X13...48","B6","25","8","8","0","0","0","0","0","4","5","31","118",1998
"X2...49","A1","124","17","34","0","0","0","0","0","10","4","11","5",1999
"X3...50","A2","61","16","28","0","0","0","0","0","2","4","52","42",1999
"X4...51","A3","103","10","2","0","0","0","0","0","1","18","27","44",1999
"X5...52","A4","33","27","3","0","0","0","0","0","3","2","14","123",1999
"X6...53","A5","5","1","4","0","0","0","0","0","3","10","63","119",1999
"X7...54","A6","31","11","9","0","0","0","0","0","1","5","28","120",1999
"X8...55","B1","126","17","17","0","0","0","0","0","6","0","23","16",1999
"X9...56","B2","38","27","9","0","0","0","0","0","9","0","74","48",1999
"X10...57","B3","44","2","2","0","0","0","0","0","13","14","56","74",1999
"X11...58","B4","0","0","0","0","0","0","0","0","1","0","31","173",1999
"X12...59","B5","0","0","0","0","0","0","0","0","1","0","43","161",1999
"X13...60","B6","3","5","5","0","0","0","0","0","3","0","80","109",1999
"X2...61","A1","61","9","5","0","0","0","0","0","14","54","41","11",2000
"X3...62","A2","150","1","0","0","0","0","0","0","1","0","23","20",2000
"X4...63","A3","64","20","20","0","0","0","0","0","23","9","27","32",2000
"X5...64","A4","10","2","2","0","0","0","0","0","6","2","43","130",2000
"X6...65","A5","30","11","4","0","0","0","0","0","2","0","19","129",2000
"X7...66","A6","1","2","2","0","0","0","0","0","3","19","57","111",2000
"X8...67","B1","126","14","4","0","0","0","0","0","8","14","14","15",2000
"X9...68","B2","114","7","2","0","0","0","0","0","2","6","35","29",2000
"X10...69","B3","5","3","3","1","0","0","0","16","9","26","3","129",2000
"X11...70","B4","14","5","1","0","0","0","0","0","3","6","106","60",2000
"X12...71","B5","29","16","14","0","0","0","0","0","13","1","11","111",2000
"X13...72","B6","8","1","0","0","0","0","0","0","0","0","41","145",2000
"X2...73","A1","189","1","0","0","0","0","0","0","0","0","8","2",2001
"X3...74","A2","163","6","5","0","0","0","0","0","1","1","14","10",2001
"X4...75","A3","97","33","5","0","0","0","0","0","24","22","7","12",2001
"X5...76","A4","29","7","8","0","0","0","0","0","10","10","47","89",2001
"X6...77","A5","12","9","10","0","0","0","0","0","9","41","33","86",2001
"X7...78","A6","1","0","0","0","0","0","0","0","0","1","57","141",2001
"X8...79","B1","136","25","7","0","0","0","0","0","3","3","20","6",2001
"X9...80","B2","38","1","2","0","0","0","0","0","2","7","52","98",2001
"X10...81","B3","120","6","5","0","0","0","0","0","12","17","5","35",2001
"X11...82","B4","43","21","28","0","0","0","0","0","3","0","34","71",2001
"X12...83","B5","2","0","0","0","0","0","0","0","3","3","82","110",2001
"X13...84","B6","9","5","2","0","0","0","0","0","2","0","40","142",2001
"X2...85","A1","115","9","41","0","0","0","0","0","16","2","20","7",2002
"X3...86","A2","75","106","14","0","0","0","0","0","3","1","1","10",2002
"X4...87","A3","63","32","8","0","0","0","0","0","7","7","26","67",2002
"X5...88","A4","61","30","19","0","0","0","0","0","24","9","31","36",2002
"X6...89","A5","21","32","29","0","0","0","0","0","24","3","27","74",2002
"X7...90","A6","3","4","3","0","0","0","0","0","5","5","58","132",2002
"X8...91","B1","162","17","2","0","0","0","0","0","2","2","15","10",2002
"X9...92","B2","107","48","18","0","0","0","0","0","18","1","8","10",2002
"X10...93","B3","30","1","0","0","0","0","0","0","30","2","78","69",2002
"X11...94","B4","84","13","11","0","0","0","0","0","4","6","50","42",2002
"X12...95","B5","28","0","5","0","0","0","0","0","2","0","27","148",2002
"X13...96","B6","7","6","4","0","0","0","0","0","3","3","28","159",2002
"X2...97","A1","149","3","29","0","0","0","0","0","10","1","5","4",2003
"X3...98","A2","55","25","8","0","0","0","0","0","15","1","35","62",2003
"X4...99","A3","10","1","7","0","0","0","0","0","2","4","100","77",2003
"X5...100","A4","15","4","5","0","0","0","0","0","71","18","27","61",2003
"X6...101","A5","27","0","1","0","0","0","0","0","6","2","33","132",2003
"X7...102","A6","18","6","4","0","0","0","0","0","7","4","45","117",2003
"X8...103","B1","62","6","4","0","0","0","0","0","14","6","83","26",2003
"X9...104","B2","119","13","4","0","0","0","0","0","30","6","12","17",2003
"X10...105","B3","97","35","20","0","0","0","0","0","10","5","12","22",2003
"X11...106","B4","120","12","11","0","0","0","0","0","5","2","16","35",2003
"X12...107","B5","31","6","19","0","0","0","0","0","15","0","36","94",2003
"X13...108","B6","10","0","0","0","0","0","0","0","1","9","40","132",2003
"X2...109","A1","139","3","26","0","0","0","0","0","7","0","20","1",2004
"X3...110","A2","64","10","11","0","0","0","0","0","7","1","83","20",2004
"X4...111","A3","148","13","4","0","0","0","0","0","2","9","8","12",2004
"X5...112","A4","23","6","8","0","0","0","0","0","15","13","69","62",2004
"X6...113","A5","14","0","2","0","0","0","0","0","0","0","55","125",2004
"X7...114","A6","7","3","4","0","0","0","0","0","1","0","49","132",2004
"X8...115","B1","156","3","2","0","0","0","0","0","2","3","27","3",2004
"X9...116","B2","56","41","39","0","0","0","0","0","22","0","28","10",2004
"X10...117","B3","79","10","1","0","0","0","0","0","3","44","35","24",2004
"X11...118","B4","92","42","10","0","0","0","0","0","8","9","19","16",2004
"X12...119","B5","16","3","1","0","0","0","0","0","3","12","62","99",2004
"X13...120","B6","4","1","0","0","0","0","0","0","1","1","58","131",2004
"X2...121","A1","132","17","6","0","0","0","0","0","10","4","16","11",2005
"X3...122","A2","85","44","13","0","0","0","0","0","24","5","12","13",2005
"X4...123","A3","14","2","5","0","0","0","0","0","6","4","86","79",2005
"X5...124","A4","20","0","7","0","0","0","0","0","3","0","55","111",2005
"X6...125","A5","10","10","0","0","0","0","0","0","2","2","40","132",2005
"X7...126","A6","5","0","2","0","0","0","0","0","3","0","65","121",2005
"X8...127","B1","155","9","22","0","0","0","0","0","7","0","3","0",2005
"X9...128","B2","148","11","4","0","0","0","0","0","9","1","13","10",2005
"X10...129","B3","23","34","8","0","0","0","0","0","2","8","75","46",2005
"X11...130","B4","97","15","12","0","0","0","0","0","13","12","27","20",2005
"X12...131","B5","4","0","1","0","0","0","0","0","0","0","54","137",2005
"X13...132","B6","18","0","1","0","0","0","0","0","2","1","41","133",2005
"X2...133","A1","129","3","11","0","0","0","0","0","6","2","47","0",2006
"X3...134","A2","96","37","30","0","0","0","0","0","4","4","27","0",2006
"X4...135","A3","63","17","13","0","0","0","0","0","6","0","39","60",2006
"X5...136","A4","112","17","0","0","0","0","0","0","3","6","32","28",2006
"X6...137","A5","16","3","3","0","0","0","0","0","5","5","46","120",2006
"X7...138","A6","1","0","0","0","0","0","0","0","0","2","58","137",2006
"X8...139","B1","52","13","54","0","0","0","0","0","4","2","30","43",2006
"X9...140","B2","123","28","16","0","0","0","0","0","3","0","13","15",2006
"X10...141","B3","15","12","23","0","0","0","0","0","54","25","33","36",2006
